bid_id,price,quantity,dispatch
129af7,58.3194,0.001,5.666999999999997
18e05a,58.2927,0.003,5.669999999999997
146c3e,58.2666,0.014,5.6839999999999975
1612a1,58.2458,0.003,5.686999999999997
174427,58.2186,0.01,5.696999999999997
180b83,58.1738,0.003,5.699999999999997
154c51,58.145,0.009,5.708999999999997
19dc63,58.1355,0.01,5.718999999999997
120d09,58.1107,0.02,5.738999999999997
1e42e7,58.0958,0.002,5.740999999999997
18076e,58.0425,0.008,5.748999999999997
1a7294,58.04,0.007,5.755999999999997
1297ed,58.015,0.003,5.758999999999997
15c179,58.0047,0.003,5.761999999999997
1848f4,57.9865,0.002,5.763999999999997
1ff419,57.9468,0.003,5.766999999999996
1a8b03,57.8661,0.005,5.771999999999997
1cdf3f,57.8554,0.012,5.783999999999996
1aca5e,57.8542,0.009,5.792999999999996
120d57,57.8483,0.001,5.793999999999996
1629ac,57.8454,0.005,5.798999999999996
100d9f,57.844,0.012,5.810999999999996
1c4b42,57.824,0.006,5.816999999999996
17e958,57.7499,0.002,5.8189999999999955
1f7394,57.7326,0.011,5.829999999999996
1354e8,57.7182,0.007,5.836999999999996
12976f,57.7125,0.006,5.8429999999999955
1ca305,57.6437,0.02,5.862999999999996
13e065,57.6435,0.003,5.865999999999996
136fad,57.6239,0.007,5.872999999999996
17126e,57.5531,0.009,5.881999999999995
12ab89,57.5399,0.01,5.891999999999996
109a6a,57.3765,0.008,5.899999999999995
1f42da,57.3489,0.001,5.900999999999995
19456f,57.2507,0.008,5.908999999999995
14ad75,57.1764,0.011,5.9199999999999955
1e4b54,57.1703,0.004,5.923999999999995
12fbab,57.1652,0.01,5.933999999999996
1fb2d9,57.113,0.001,5.934999999999995
12e879,57.1059,0.014,5.948999999999995
191d24,57.0977,0.009,5.957999999999995
14d049,57.0792,0.001,5.958999999999995
1cb9d3,57.0288,0.008,5.966999999999995
1e7280,57.0235,0.013,5.979999999999995
16bcf4,57.0202,0.001,5.9809999999999945
157287,56.9417,0.005,5.985999999999994
11a0bd,56.9075,0.001,5.986999999999995
10f7b5,56.8847,0.01,5.996999999999995
1e300c,56.873,0.006,6.002999999999995
1e4ff5,56.7972,0.02,6.022999999999994
1ecffe,56.7888,0.012,6.034999999999995
18c251,56.7416,0.002,6.036999999999994
1b4cbb,56.7211,0.002,6.038999999999994
1b77e0,56.7122,0.01,6.048999999999994
1ab756,56.7055,0.001,6.049999999999994
1cbda9,56.5794,0.004,6.053999999999993
17e92d,56.5793,0.004,6.057999999999994
1ac255,56.5678,0.02,6.077999999999994
1b486c,56.5652,0.001,6.0789999999999935
1c47a9,56.5627,0.007,6.085999999999993
1bb1d1,56.5621,0.005,6.090999999999994
1bb488,56.4856,0.004,6.0949999999999935
1ad32c,56.4798,0.017,6.111999999999993
160998,56.4785,0.017,6.128999999999993
1da690,56.4639,0.01,6.138999999999993
17c6f2,56.4015,0.007,6.145999999999994
15d8de,56.3831,0.008,6.153999999999993
1291a5,56.2717,0.006,6.159999999999993
168c92,56.1761,0.001,6.1609999999999925
1fa331,56.1193,0.007,6.167999999999993
1ba0bc,56.1161,0.02,6.1879999999999935
1a902f,56.0643,0.004,6.191999999999993
177152,56.0533,0.004,6.195999999999993
1a99d1,55.9955,0.004,6.199999999999993
19c4d4,55.9761,0.001,6.200999999999993
1dc882,55.9024,0.02,6.220999999999993
19a0d7,55.8695,0.003,6.223999999999993
17e87b,55.8573,0.001,6.2249999999999925
1b309e,55.8164,0.001,6.225999999999993
1e8a84,55.8116,0.003,6.228999999999993
1898ef,55.7477,0.01,6.238999999999993
1bb250,55.695,0.002,6.2409999999999926
1c7067,55.6792,0.009,6.249999999999993
1689ea,55.5662,0.008,6.257999999999992
117669,55.5558,0.005,6.262999999999993
125226,55.5146,0.019,6.281999999999993
1163ab,55.4841,0.005,6.286999999999992
17c191,55.4526,0.001,6.287999999999992
1776d3,55.4275,0.001,6.288999999999993
1c6a37,55.4259,0.005,6.293999999999992
1f08e5,55.3894,0.002,6.295999999999992
16e862,55.3109,0.019,6.314999999999992
1c41b0,55.186,0.003,6.3179999999999925
1a1491,55.1447,0.002,6.319999999999991
1d8dca,55.0165,0.005,6.324999999999992
12d2aa,55.0092,0.001,6.325999999999992
182a3e,54.9502,0.005,6.3309999999999915
185e27,54.9002,0.001,6.331999999999992
1b7fa7,54.8292,0.009,6.340999999999991
186fcb,54.783,0.009,6.349999999999991
1e322a,54.7811,0.005,6.3549999999999915
113db1,54.7732,0.002,6.35699999999999
1eb1ab,54.748,0.003,6.3599999999999905
1a239f,54.7344,0.001,6.360999999999991
1f6572,54.7246,0.02,6.380999999999991
13578f,54.7229,0.008,6.3889999999999905
1158cb,54.7181,0.001,6.389999999999991
1096e6,54.7081,0.015,6.4049999999999905
1b5993,54.6874,0.002,6.406999999999991
18aba7,54.6797,0.01,6.416999999999991
1eb06a,54.6716,0.001,6.41799999999999
1fcc5f,54.6677,0.011,6.4289999999999905
1bed17,54.645,0.013,6.44199999999999
188e8f,54.5915,0.004,6.445999999999991
1ec7af,54.5765,0.016,6.461999999999991
1e5f26,54.5705,0.001,6.46299999999999
1dfdfc,54.57,0.003,6.46599999999999
161c52,54.5187,0.006,6.471999999999991
179080,54.5111,0.007,6.47899999999999
15d324,54.5038,0.016,6.49499999999999
184f1a,54.4145,0.003,6.4979999999999905
177ff5,54.3949,0.007,6.50499999999999
1f56e5,54.3158,0.008,6.512999999999991
162e5f,54.272,0.002,6.51499999999999
1f26db,54.2519,0.016,6.53099999999999
1b6f7f,54.23,0.01,6.54099999999999
11d7bb,54.1741,0.006,6.54699999999999
15c7c4,54.1434,0.001,6.547999999999989
1e69b2,54.1111,0.004,6.55199999999999
18b27b,54.105,0.006,6.557999999999989
13973b,54.0716,0.003,6.560999999999989
16e08a,54.0651,0.008,6.56899999999999
161cc4,54.046,0.004,6.57299999999999
137dcf,54.0372,0.012,6.58499999999999
183157,54.0333,0.003,6.58799999999999
1bd91f,54.0239,0.019,6.60699999999999
17cbbe,53.9742,0.01,6.61699999999999
11d1e7,53.9671,0.011,6.6279999999999895
162526,53.9042,0.001,6.62899999999999
1c033b,53.9004,0.009,6.637999999999989
1c562c,53.8721,0.01,6.647999999999989
1f1548,53.8437,0.011,6.65899999999999
1d497a,53.8347,0.004,6.66299999999999
18eb70,53.8219,0.002,6.664999999999989
1331b8,53.8027,0.013,6.677999999999989
1935fa,53.7866,0.001,6.67899999999999
153182,53.6698,0.001,6.679999999999989
1a729a,53.6675,0.013,6.692999999999989
1bd9c6,53.6476,0.02,6.7129999999999885
1e2868,53.6391,0.006,6.718999999999989
1df0f2,53.6202,0.003,6.721999999999989
19331f,53.6016,0.004,6.725999999999988
16341d,53.5837,0.003,6.7289999999999885
1dc5df,53.5806,0.002,6.730999999999989
1337e2,53.5634,0.009,6.739999999999989
1db3ca,53.5421,0.001,6.740999999999989
1e8566,53.4449,0.005,6.745999999999988
1ab2bf,53.4088,0.02,6.7659999999999885
1a14b3,53.3986,0.008,6.7739999999999885
113590,53.3526,0.004,6.777999999999988
1bbe09,53.3484,0.001,6.778999999999988
1a641f,53.2517,0.012,6.790999999999988
153525,53.1779,0.007,6.7979999999999885
19bad3,53.1083,0.018,6.815999999999988
1d9c3f,53.0958,0.015,6.830999999999989
1c9cf9,53.066,0.002,6.832999999999988
18ab09,53.0229,0.001,6.833999999999988
1b3bab,53.0191,0.003,6.836999999999988
16ad2b,52.9976,0.007,6.843999999999989
168617,52.9646,0.013,6.856999999999989
12b0b4,52.9573,0.017,6.873999999999988
1b2783,52.8855,0.001,6.874999999999988
172b50,52.8703,0.002,6.876999999999988
188df1,52.8448,0.014,6.890999999999988
166a8b,52.8112,0.015,6.905999999999988
16fab8,52.8059,0.02,6.925999999999988
14dc6c,52.7612,0.002,6.9279999999999875
11986c,52.7346,0.008,6.9359999999999875
139326,52.6659,0.016,6.9519999999999875
10b6bd,52.6223,0.004,6.955999999999987
1f5294,52.5974,0.006,6.961999999999987
188f4d,52.5812,0.004,6.965999999999987
1ce0fc,52.5698,0.012,6.977999999999987
1212e3,52.5513,0.002,6.979999999999987
18e17f,52.5326,0.008,6.987999999999987
1ee986,52.4834,0.001,6.988999999999987
1de7a6,52.4831,0.001,6.989999999999987
185da1,52.4492,0.001,6.990999999999987
1a189e,52.4149,0.019,7.009999999999987
12c8c1,52.3786,0.002,7.011999999999986
1f339e,52.3057,0.003,7.014999999999986
154e69,52.2709,0.005,7.019999999999987
11a3dc,52.2439,0.001,7.020999999999987
1bdaf2,52.205,0.01,7.030999999999986
16931a,52.2037,0.011,7.0419999999999865
118ba4,52.1994,0.005,7.046999999999986
13823e,52.1798,0.02,7.066999999999986
130a1e,52.1467,0.006,7.072999999999986
1697b6,52.1356,0.017,7.089999999999986
132008,52.0281,0.009,7.098999999999986
1f8b1a,52.0278,0.016,7.114999999999986
189427,52.0267,0.013,7.127999999999986
1130b7,51.9422,0.001,7.128999999999985
1ece36,51.9248,0.01,7.138999999999985
12d4f5,51.9247,0.006,7.144999999999985
125fb4,51.8889,0.007,7.151999999999985
1e14aa,51.8467,0.007,7.158999999999986
188a9b,51.8424,0.02,7.178999999999986
1ef622,51.8232,0.006,7.184999999999985
1f2ead,51.7323,0.012,7.196999999999985
10f51f,51.6896,0.004,7.200999999999985
1c379c,51.6562,0.017,7.217999999999986
1febe1,51.6511,0.012,7.229999999999985
169eb7,51.6294,0.002,7.231999999999985
11da9f,51.6271,0.004,7.235999999999985
1532e8,51.6255,0.011,7.246999999999986
17dbcd,51.622,0.001,7.247999999999985
1128e9,51.6213,0.017,7.264999999999985
17cebc,51.6164,0.014,7.278999999999985
1eb16d,51.6017,0.015,7.2939999999999845
18fb91,51.5786,0.001,7.294999999999985
100398,51.555,0.013,7.307999999999985
1fa770,51.4945,0.011,7.318999999999985
1c5733,51.4543,0.012,7.330999999999985
1ec657,51.4328,0.001,7.331999999999985
1eb542,51.3991,0.005,7.336999999999985
12ef7d,51.3967,0.005,7.3419999999999845
16e55b,51.3377,0.013,7.354999999999984
16d2a0,51.3068,0.002,7.356999999999984
184eab,51.2144,0.014,7.3709999999999845
185caa,51.1143,0.002,7.372999999999983
1bb844,51.1029,0.007,7.379999999999984
151a7a,51.0972,0.006,7.385999999999983
1e40d6,51.0781,0.006,7.3919999999999835
19c33c,51.0614,0.001,7.392999999999983
107444,50.9723,0.014,7.406999999999983
131b8a,50.9383,0.003,7.409999999999983
147d53,50.8899,0.014,7.4239999999999835
18285d,50.8748,0.001,7.424999999999983
1c8d85,50.8726,0.004,7.4289999999999825
16eea7,50.8203,0.009,7.437999999999983
156259,50.8136,0.006,7.443999999999983
12b603,50.7469,0.02,7.463999999999983
1049a7,50.727,0.02,7.483999999999982
1913a8,50.6626,0.001,7.484999999999983
19221a,50.6503,0.019,7.503999999999983
1f01d1,50.6439,0.002,7.5059999999999825
194365,50.6326,0.02,7.525999999999982
1f1199,50.55,0.01,7.535999999999982
1007bc,50.5461,0.013,7.548999999999982
1601ba,50.5227,0.008,7.556999999999983
148488,50.5178,0.005,7.561999999999982
12996b,50.512,0.011,7.572999999999983
1f7e24,50.5084,0.004,7.576999999999982
194089,50.5041,0.004,7.580999999999982
176ceb,50.4552,0.004,7.584999999999982
1cf892,50.4228,0.011,7.595999999999982
122704,50.4156,0.007,7.602999999999982
13f805,50.3974,0.001,7.603999999999982
19db2f,50.3647,0.003,7.606999999999982
12b520,50.3258,0.014,7.620999999999983
11222d,50.2975,0.016,7.636999999999983
1a691b,50.2949,0.02,7.656999999999982
16dc24,50.2885,0.009,7.665999999999983
19908c,50.2584,0.002,7.6679999999999815
118152,50.2581,0.011,7.6789999999999825
17b5ef,50.2516,0.001,7.679999999999982
1f0bbf,50.2466,0.001,7.680999999999981
1a5aed,50.1705,0.005,7.685999999999982
166103,50.1177,0.003,7.688999999999982
1e9fdd,50.1144,0.007,7.695999999999982
1c9ed2,50.0924,0.008,7.703999999999982
1d9516,50.0827,0.01,7.713999999999982
192618,50.0596,0.011,7.724999999999982
1a668d,50.0328,0.011,7.735999999999982
137e34,50.0222,0.01,7.745999999999982
116f1a,50.0171,0.001,7.746999999999982
1ff482,49.9825,0.003,7.749999999999982
151121,49.9815,0.001,7.750999999999982
1632e2,49.8836,0.008,7.758999999999982
1f45e7,49.8715,0.008,7.766999999999982
1daadc,49.862,0.001,7.767999999999981
1b8de8,49.8041,0.001,7.7689999999999815
158158,49.7695,0.006,7.774999999999981
1b9c7f,49.7187,0.008,7.782999999999982
1a3b75,49.7127,0.002,7.784999999999981
19d5ec,49.7078,0.002,7.786999999999981
13b505,49.6543,0.01,7.796999999999981
1418fd,49.5933,0.002,7.79899999999998
16bcd3,49.5675,0.003,7.80199999999998
17f8d0,49.4586,0.02,7.8219999999999805
198600,49.3679,0.009,7.83099999999998
170b4f,49.3529,0.005,7.835999999999981
12d5b4,49.3447,0.02,7.85599999999998
1952b3,49.3235,0.002,7.85799999999998
171765,49.3074,0.004,7.861999999999981
186dbc,49.3031,0.002,7.8639999999999795
1a8460,49.2745,0.001,7.86499999999998
169670,49.2734,0.002,7.86699999999998
19b641,49.2615,0.013,7.8799999999999795
16c299,49.1988,0.007,7.886999999999979
1f27b1,49.1928,0.002,7.88899999999998
15d6c2,49.1879,0.009,7.897999999999979
1ef4d2,49.1684,0.02,7.91799999999998
10a0ba,49.1638,0.001,7.918999999999979
1ca1de,49.1513,0.001,7.919999999999979
10b489,49.1258,0.018,7.937999999999979
17ca20,49.1115,0.011,7.9489999999999785
11b9c3,49.0,0.019,7.967999999999979
16a6a7,48.9846,0.003,7.970999999999979
1aadc6,48.9617,0.006,7.976999999999979
1146f1,48.9594,0.008,7.984999999999979
171976,48.9493,0.012,7.996999999999979
11abe9,48.9417,0.001,7.997999999999979
1ef634,48.9269,0.017,8.01499999999998
117d60,48.9209,0.017,8.031999999999979
199884,48.9141,0.009,8.040999999999979
17ebf9,48.8827,0.008,8.04899999999998
19413e,48.8685,0.013,8.06199999999998
188a66,48.8653,0.005,8.066999999999979
17690a,48.8159,0.001,8.06799999999998
137144,48.7701,0.002,8.069999999999979
12bd9b,48.7412,0.005,8.07499999999998
1a0e41,48.7411,0.017,8.091999999999981
128031,48.7358,0.001,8.09299999999998
177c46,48.7281,0.004,8.09699999999998
16f989,48.7246,0.004,8.10099999999998
1c60d8,48.7134,0.006,8.10699999999998
1002ff,48.7099,0.004,8.11099999999998
14d14f,48.6793,0.014,8.124999999999979
15e25e,48.6733,0.002,8.12699999999998
116ac6,48.6187,0.001,8.127999999999979
1d6af0,48.6063,0.009,8.13699999999998
1e16d5,48.5051,0.002,8.13899999999998
16fa54,48.4983,0.019,8.15799999999998
1d15e7,48.4878,0.002,8.159999999999979
1e3edc,48.4783,0.009,8.16899999999998
18eb53,48.4642,0.003,8.17199999999998
1c9761,48.4474,0.005,8.17699999999998
1b3d80,48.437,0.02,8.19699999999998
158d2a,48.4322,0.014,8.21099999999998
1c755b,48.3921,0.001,8.21199999999998
172e07,48.3821,0.007,8.21899999999998
1998f3,48.3728,0.001,8.219999999999981
158a13,48.3583,0.012,8.23199999999998
1da42c,48.2683,0.002,8.23399999999998
148f53,48.2578,0.007,8.240999999999978
1be48c,48.2552,0.009,8.249999999999979
10e4c2,48.2507,0.014,8.26399999999998
1d3190,48.1954,0.009,8.27299999999998
1f17c8,48.1953,0.005,8.277999999999981
1506bd,48.1805,0.001,8.27899999999998
190394,48.1159,0.001,8.27999999999998
147930,48.0836,0.014,8.293999999999981
1266d6,48.056,0.005,8.298999999999982
17ea6c,48.0492,0.012,8.31099999999998
11dfc9,48.0408,0.02,8.33099999999998
105db8,48.0267,0.001,8.33199999999998
192d60,48.0223,0.001,8.33299999999998
1d3e24,47.9731,0.015,8.347999999999981
11a713,47.9473,0.016,8.36399999999998
13d459,47.9437,0.002,8.36599999999998
1e9586,47.9415,0.001,8.36699999999998
14d88a,47.9293,0.009,8.37599999999998
156e22,47.8516,0.006,8.38199999999998
16e586,47.8337,0.008,8.389999999999981
1d67ce,47.8302,0.003,8.392999999999981
10a35a,47.797,0.003,8.395999999999981
1fbc1a,47.7958,0.005,8.400999999999982
160147,47.6832,0.003,8.403999999999982
1c5114,47.6639,0.002,8.405999999999981
1e3048,47.6611,0.001,8.406999999999982
197126,47.6526,0.001,8.407999999999982
12d0ea,47.6466,0.007,8.414999999999981
173c25,47.6099,0.01,8.424999999999981
182c18,47.593,0.02,8.44499999999998
12ccc2,47.5548,0.012,8.45699999999998
1cb6f6,47.5012,0.001,8.45799999999998
135ec6,47.5001,0.008,8.46599999999998
1034c9,47.4297,0.002,8.46799999999998
15dc1a,47.3949,0.018,8.48599999999998
1aab1c,47.3916,0.001,8.48699999999998
1df017,47.3692,0.003,8.48999999999998
145d24,47.3275,0.001,8.490999999999982
13cf8d,47.3123,0.002,8.49299999999998
1e3117,47.3029,0.002,8.49499999999998
10e5a1,47.2936,0.007,8.501999999999981
101321,47.2845,0.006,8.507999999999981
12f60b,47.2704,0.007,8.51499999999998
10972f,47.2331,0.007,8.52199999999998
1d7475,47.194,0.002,8.52399999999998
1e7395,47.1579,0.005,8.528999999999979
1f61d0,47.1395,0.001,8.52999999999998
159d4a,47.08,0.008,8.537999999999979
1017fc,47.0562,0.017,8.55499999999998
1fff41,47.0519,0.004,8.55899999999998
14f954,47.0453,0.005,8.563999999999979
108427,47.0323,0.007,8.57099999999998
1a2122,47.0219,0.009,8.57999999999998
1faa51,47.0178,0.001,8.58099999999998
1fc8d7,46.9934,0.004,8.58499999999998
110a34,46.9879,0.008,8.592999999999979
145622,46.9866,0.008,8.60099999999998
117fe5,46.9441,0.007,8.60799999999998
134b98,46.9059,0.014,8.621999999999979
18f4d4,46.8538,0.006,8.627999999999979
1f5280,46.7881,0.014,8.64199999999998
16ec4f,46.7247,0.002,8.64399999999998
1f63a0,46.6907,0.001,8.64499999999998
1f8863,46.675,0.003,8.64799999999998
1a2b87,46.6394,0.018,8.665999999999979
15c59a,46.6162,0.008,8.67399999999998
15ffc8,46.5879,0.012,8.685999999999979
15d6b1,46.5456,0.011,8.69699999999998
1f47f8,46.4544,0.005,8.70199999999998
11ef31,46.4539,0.005,8.70699999999998
1f88e9,46.4422,0.004,8.710999999999979
1ec25f,46.4277,0.004,8.714999999999979
19d13f,46.3987,0.019,8.733999999999979
199071,46.3859,0.02,8.753999999999978
1e248b,46.3622,0.003,8.756999999999978
1df859,46.3523,0.004,8.760999999999978
11116c,46.3049,0.004,8.764999999999977
194d3f,46.2964,0.001,8.765999999999977
1281b9,46.2962,0.003,8.768999999999977
1b6dec,46.2522,0.011,8.779999999999978
1b714b,46.2389,0.014,8.79399999999998
1c0605,46.2283,0.001,8.794999999999979
1fa64a,46.2243,0.007,8.801999999999978
1b06c7,46.2007,0.003,8.804999999999978
1ba2fe,46.1842,0.006,8.810999999999979
1666ae,46.1803,0.015,8.82599999999998
144e85,46.1586,0.011,8.836999999999978
1d5317,46.1584,0.001,8.83799999999998
118e6a,46.1333,0.002,8.839999999999979
1c0044,46.1046,0.007,8.846999999999978
10e121,46.0908,0.004,8.850999999999978
1c24f7,46.0787,0.001,8.851999999999979
1d99b8,46.0778,0.002,8.853999999999978
112593,46.0737,0.006,8.859999999999978
149fe8,46.0189,0.008,8.867999999999977
198b97,45.9555,0.01,8.877999999999979
1d9ae6,45.9527,0.007,8.884999999999977
11302b,45.9136,0.004,8.888999999999978
18d000,45.8886,0.012,8.900999999999977
1b450b,45.8374,0.004,8.904999999999976
1a398f,45.7936,0.007,8.911999999999976
1ec6d1,45.7885,0.002,8.913999999999977
1de58a,45.7598,0.007,8.920999999999975
111f89,45.7431,0.011,8.931999999999976
155ce5,45.6718,0.002,8.933999999999976
1fce66,45.6675,0.002,8.935999999999975
